Code,Long code,Experiment code,Compound code,Smiles,Centroid res,Downloaded,ConformerSites upload name,CanonSites upload name,CrystalformSites upload name,Quatassemblies upload name,Crystalforms upload name,ConformerSites short tag,CanonSites short tag,CrystalformSites short tag,Quatassemblies short tag,Crystalforms short tag,ConformerSites alias,CanonSites alias,CrystalformSites alias,Quatassemblies alias,Crystalforms alias,Pose,[Other] Dimer Site,[Other] Active Site,[Other] Herbicide Site
fa2059b,FATAATA-x2059_B_401_v1,FATAATA-x2059,Z768399682,C[C@@H]1CN(C(=O)c2cnsn2)[C@H](C)CO1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2059a,False,False,False
fa2062a,FATAATA-x2062_A_361_v1,FATAATA-x2062,Z802821712,CCNc1ccc(C)nn1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2062a,False,False,True
fa2062b,FATAATA-x2062_B_360_v1,FATAATA-x2062,Z802821712,CCNc1ccc(C)nn1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2062a,False,False,False
fa2063a,FATAATA-x2063_A_401_v1,FATAATA-x2063,Z802824098,Fc1ccc(NC2CCOCC2)nc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2063a,False,False,True
fa2063b,FATAATA-x2063_B_401_v1,FATAATA-x2063,Z802824098,Fc1ccc(NC2CCOCC2)nc1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2063a,False,False,False
fa2085a,FATAATA-x2085_A_403_v1,FATAATA-x2085,Z872116736,O=C1NC[C@@H]2CCCCN12,FATAATA-x1317/A/166/A_v1,False,5a - FATAATA-x1317+A+360,5 - FATAATA-x1317+A+360+1,F1e - FATAATA-x1285/B/403/1,A1 - dimer,F1 - original-I222,5a - fa1317+A+360,5 - fa1317+A+360+1,F1e - fa1285/B/403,A1 - dimer,F1 - original-I222,5a - fa1317+A+360,5 - fa1317+A+360+1,F1e - fa1285/B/403,A1 - dimer,F1 - original-I222,fa2085a,False,False,False
fa2085c,FATAATA-x2085_B_402_v1,FATAATA-x2085,Z872116736,O=C1NC[C@@H]2CCCCN12,FATAATA-x1317/A/166/A_v1,False,5a - FATAATA-x1317+A+360,5 - FATAATA-x1317+A+360+1,F1e - FATAATA-x1285/B/403/1,A1 - dimer,F1 - original-I222,5a - fa1317+A+360,5 - fa1317+A+360+1,F1e - fa1285/B/403,A1 - dimer,F1 - original-I222,5a - fa1317+A+360,5 - fa1317+A+360+1,F1e - fa1285/B/403,A1 - dimer,F1 - original-I222,fa2085a,False,False,False
fa2085b,FATAATA-x2085_A_402_v1,FATAATA-x2085,Z872116736,O=C1NC[C@@H]2CCCCN12,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985+A+360,3 - FATAATA-x1985+A+360+1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2085b,False,True,False
fa2085d,FATAATA-x2085_B_403_v1,FATAATA-x2085,Z872116736,O=C1NC[C@@H]2CCCCN12,FATAATA-x1985/A/195/A_v1,False,3a - FATAATA-x1985+A+360,3 - FATAATA-x1985+A+360+1,F1c - FATAATA-x1184/A/401/1,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,3a - fa1985+A+360,3 - fa1985+A+360+1,F1c - fa1184/A/401,A1 - dimer,F1 - original-I222,fa2085b,False,False,False
fa2099a,FATAATA-x2099_A_501_v1,FATAATA-x2099,Z952016136,Clc1cccc2nc[nH]c12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2099a,False,False,True
fa2099b,FATAATA-x2099_B_360_v1,FATAATA-x2099,Z952016136,Clc1cccc2nc[nH]c12,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2099a,False,False,False
fa2108a,FATAATA-x2108_A_360_v1,FATAATA-x2108,Z979742720,CC(C)c1nc([C@@H]2CCCN2)no1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2108a,False,False,True
fa2110a,FATAATA-x2110_A_401_v1,FATAATA-x2110,Z979770898,NC(=O)[C@@H](O)C1CCOCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2110a,False,False,True
fa2110b,FATAATA-x2110_B_360_v1,FATAATA-x2110,Z979770898,NC(=O)[C@@H](O)C1CCOCC1,FATAATA-x1840/A/111/A_v1,False,1a - FATAATA-x1840+A+401,1 - FATAATA-x1840+A+401+1,F1a - FATAATA-x1163/A/401/1,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,1a - fa1840+A+401,1 - fa1840+A+401+1,F1a - fa1163/A/401,A1 - dimer,F1 - original-I222,fa2110a,False,False,False
